,0,1,2,3
Income (mean),108813.585,54238.346,80455.04,43690.375
Kid_Younger6 (mean),0.024,0.712,0.403,0.897
Children_6to18 (mean),0.282,0.714,0.777,0.172
NumPurchasesTotal (mean),22.175,8.749,19.238,8.491
Age (mean),48.263,51.118,48.777,34.365
Male (sum),1616.0,1173.0,1306.0,902.0
Female (sum),596.0,421.0,464.0,334.0
daysAsCardClient (mean),609.787,587.775,735.437,610.489
Graduation (sum),1143.0,761.0,880.0,635.0
HighSchool (sum),190.0,121.0,137.0,199.0
Master (sum),376.0,284.0,314.0,142.0
PhD (sum),503.0,391.0,431.0,130.0
Married (sum),1447.0,1047.0,1145.0,811.0
Single (sum),454.0,319.0,377.0,352.0
Widow (sum),95.0,62.0,75.0,3.0
MntTotal (mean),15417.267,958.701,7839.419,914.811
Response_Campaigns (mean),0.604,0.085,0.31,0.086
Total_Kids (mean),0.305,1.426,1.18,1.069
Pct_Meat&Fish (mean),0.373,0.447,0.547,0.26
Pct_Desserts (mean),0.083,0.076,0.059,0.128
Pct_Entries (mean),0.083,0.078,0.059,0.133
Pct_AdditionalRequests (mean),0.005,0.015,0.01,0.019
Pct_Drinks (mean),0.084,0.079,0.061,0.132
Pct_Vegan&Vegetarian (mean),0.372,0.306,0.264,0.329
Pct_Store (mean),0.385,0.371,0.364,0.361
Pct_App (mean),0.321,0.458,0.442,0.47
Pct_TakeAway (mean),0.294,0.171,0.194,0.169
NumOfferPurchases (mean),0.337,0.456,0.673,0.438
