CustomerID,Income,Kid_Younger6,Children_6to18,Recency,MntMeat&Fish,MntEntries,MntVegan&Vegetarian,MntDrinks,MntDesserts,MntAdditionalRequests,NumOfferPurchases,NumAppPurchases,NumTakeAwayPurchases,NumStorePurchases,NumAppVisitsMonth,Complain,Response_Cmp1,Response_Cmp2,Response_Cmp3,Response_Cmp4,Response_Cmp5,Gender,Age,daysAsCardClient,Graduation,HighSchool,Master,PhD,Married,Single,Widow,Mnt_pday_card,Mnt_per_purchase
14594,113947.0,0,0,43.0,4640.0,3380,5700.0,2240.0,562.0,154.0,2,10,7,7,4,0,0,1,0,0,0,0,42,818,1,0,0,0,0,1,0,20.38630806845966,641.3846153846154
19070,114297.0,0,0,74.0,7080.0,3680,7620.0,1840.0,1220.0,46.0,1,5,9,12,2,0,0,0,0,0,0,0,49,727,1,0,0,0,1,0,0,29.55433287482806,795.7777777777778
29888,115476.0,0,0,85.0,4130.0,380,4890.0,3640.0,380.0,28.0,1,5,5,7,1,0,0,0,0,0,0,1,63,450,0,0,0,1,1,0,0,29.884444444444444,747.1111111111111
12221,101172.0,1,1,25.0,3590.0,0,1770.0,80.0,180.0,14.0,5,8,3,8,5,0,0,0,0,0,0,1,43,542,1,0,0,0,1,0,0,10.394833948339484,234.75
21107,123128.0,0,0,64.0,5390.0,1126,9495.0,656.0,562.0,74.0,0,4,7,8,5,0,1,0,1,0,0,1,52,847,0,1,0,0,0,1,0,20.428571428571427,910.6842105263158
28976,232427.925,0,2,6.0,121.0,206,24718.5,12.0,88.0,4.8,15,1,23,1,0,0,0,0,0,0,0,1,60,818,1,0,0,0,0,1,0,30.746088019559902,628.7574999999999
33446,70509.0,0,1,12.0,380.0,40,480.0,160.0,120.0,39.0,2,5,2,3,5,0,0,0,0,0,0,1,55,284,1,0,0,0,1,0,0,4.292253521126761,101.58333333333333
33803,71692.0,0,1,83.0,5480.0,1920,3465.0,760.0,960.0,173.0,2,12,6,9,8,0,0,0,0,0,0,1,42,907,0,0,0,1,0,0,0,14.066152149944873,439.9310344827586
5105,26231.0,1,0,53.0,30.0,200,45.0,20.0,0.0,1.0,1,2,1,3,7,0,0,0,0,0,0,1,27,840,0,1,0,0,1,0,0,0.3523809523809524,42.285714285714285
12974,40298.0,0,0,56.0,280.0,120,255.0,240.0,120.0,34.0,1,3,2,4,4,0,0,0,0,0,0,1,48,377,0,0,0,1,1,0,0,2.782493368700265,104.9
31097,98807.0,0,0,66.0,2690.0,800,13110.0,520.0,2680.0,29.0,1,5,11,7,1,0,1,0,0,0,0,1,67,409,1,0,0,0,1,0,0,48.48166259168704,826.2083333333334
21278,49801.0,1,0,92.0,1000.0,40,1920.0,340.0,140.0,10.0,4,7,2,5,8,0,0,0,0,0,0,0,35,605,1,0,0,0,1,0,0,5.702479338842975,191.66666666666666
13595,66209.0,0,1,74.0,2020.0,100,1110.0,160.0,100.0,14.0,3,8,2,5,7,0,0,0,0,0,0,1,55,588,0,0,1,0,1,0,0,5.959183673469388,194.66666666666666
25334,56079.0,1,0,74.0,150.0,80,255.0,80.0,100.0,16.0,1,4,1,3,5,0,0,0,0,0,0,1,46,533,0,0,0,1,1,0,0,1.277673545966229,75.66666666666667
23564,33994.0,1,1,85.0,190.0,20,165.0,0.0,60.0,13.0,4,4,1,4,4,0,0,0,0,0,0,1,40,319,0,0,0,1,1,0,0,1.4043887147335423,34.46153846153846
16223,28057.0,0,0,13.0,50.0,0,60.0,160.0,160.0,7.0,1,3,1,3,6,0,0,0,0,0,0,1,53,707,1,0,0,0,1,0,0,0.6181046676096181,54.625
31232,83475.0,1,0,71.0,2310.0,760,1365.0,1440.0,960.0,19.0,2,8,3,8,4,0,0,0,0,0,0,1,37,716,0,1,0,0,1,0,0,9.572625698324023,326.3809523809524
9809,113979.0,0,0,50.0,10900.0,280,5085.0,280.0,280.0,14.0,1,7,6,12,3,0,0,0,0,0,0,1,53,907,0,0,0,1,0,1,0,18.565600882028665,647.6538461538462
