,0,1,2,3
Income (mean),47165.813,108258.779,49632.656,80767.584
Kid_Younger6 (mean),0.765,0.053,0.795,0.383
Children_6to18 (mean),0.383,0.298,0.56,0.807
Complain (sum),5.72,6.623,4.214,4.515
NumPurchasesTotal (mean),9.438,21.993,7.505,19.524
Age (mean),42.789,48.095,45.548,48.729
Male (sum),1127.0,1675.0,1021.0,1222.0
Female (sum),434.0,631.0,354.0,419.0
daysAsCardClient (mean),670.791,607.071,527.65,736.651
Graduation (sum),833.0,1206.0,634.0,784.0
HighSchool (sum),231.0,202.0,107.0,117.0
Master (sum),187.0,388.0,248.0,299.0
PhD (sum),184.0,510.0,340.0,438.0
Married (sum),1028.0,1505.0,896.0,1070.0
Single (sum),386.0,480.0,312.0,339.0
Widow (sum),32.0,99.0,37.0,68.0
MntTotal (mean),1326.807,15147.566,552.777,7874.326
Response_Campaigns (mean),0.107,0.569,0.09,0.34
Total_Kids (mean),1.148,0.351,1.355,1.19
Pct_Meat&Fish (mean),0.275,0.372,0.45,0.578
Pct_Desserts (mean),0.128,0.084,0.07,0.052
Pct_Entries (mean),0.129,0.085,0.076,0.049
Pct_Drinks (mean),0.134,0.085,0.07,0.052
Pct_Vegan&Vegetarian (mean),0.317,0.368,0.32,0.26
Pct_AdditionalRequests (mean),0.018,0.005,0.014,0.009
Pct_Store (mean),0.353,0.386,0.38,0.362
Pct_App (mean),0.469,0.324,0.455,0.443
Pct_TakeAway (mean),0.178,0.29,0.166,0.195
